comment,comment_likes,replies,user_name,date
Cool commercial,0,[],@habibi750,2024-01-13T03:12:06Z
I am so short attentioned that I watched this on 2X speed. I like it,0,[],@MrMikkyn,2024-01-12T23:37:46Z
I want to do this method of learning,0,[],@MrMikkyn,2024-01-12T23:33:07Z
Ngl you seem like a friendly neighborhood sister with all these information. Unnieeee!!! ❤,0,['awwww ❤️❤️'],@xyzxyz6449,2024-01-08T07:09:15Z
ADHD is certainly not making it easy for me. I'll give your advice a try. Thank you.,2,[],@Liminal-Mystic,2024-01-08T05:29:43Z
Don't forget Kaggle for machine learning.,1,[],@binksterb,2024-01-08T00:55:44Z
Thank you for giving us a starting point. Please do lot more videos on AI,0,[],@encanto6783,2024-01-07T01:17:46Z
Chibaku Tensei dose skills yall,0,[],@GregoryCarnegie,2024-01-06T12:51:33Z
my biggest enemy to learn programming isnt motivation but sufficient devices. hope theres a solution for this,0,['Use google colab'],@kevinimation5508,2024-01-06T03:54:05Z
I'm pretty sure algebra is learned before calculus in every school in every country.,3,[],@MichaelLloydMobile,2024-01-05T21:25:19Z
0:45 - Do I need to have a mangekyou sharingan first?,0,[],@fawazalsaif600,2024-01-05T20:17:45Z
Rinnegan lol,0,[],@ManPursueExcellence,2024-01-05T15:37:02Z
❤️❤️❤️❤️❤️❤️,0,[],@Sep496,2024-01-05T09:52:34Z
Great content! Please do more in-depth on your learning path 🎉,15,[],@PeterPan-hs5tu,2024-01-05T06:31:33Z
doesn't matter CN want's me to speak mandarin. I call this madness.,0,[],@jasonreviews,2024-01-05T05:27:03Z
"Freaking beautiful, she is. ❤",0,[],@medbendi6445,2024-01-04T22:51:04Z
mind if I worship you? 🥺,0,[],@arcan762,2024-01-04T17:46:50Z
I will ask the AI i make to get me that skin,0,[],@phurbutsering4485,2024-01-03T11:36:48Z
Your skin is so good!  Can you share your skin care?? 🤩,1,[],@meghashree7162,2024-01-03T08:49:48Z
"""Rinnegan"". She is Nerd AF, but I like her",1,[],@natan_duarte,2024-01-03T02:20:54Z
transformers r hard tho,0,[],@timstevens3361,2024-01-03T01:30:09Z
Does anyone remember this YouTuber gave up the cat and she was acting like a victim for somehow??lol,0,[],@saps4hana548,2024-01-03T01:16:59Z
Rinnegan method 😐 lol 😂 😂,0,[],@DuYuKno,2024-01-02T21:36:54Z
"TYSM Tina, this was so well done!",0,[],@josepinzon1515,2024-01-02T07:43:53Z
I am planning to take machine learning next semester in college and I hope this is a helpful video.,0,[],@raadahammad9153,2024-01-02T05:07:51Z
Thank you Tina.  Learning AI seems doable now.,0,[],@BestJerome,2024-01-02T02:40:02Z
You're my favorite AI YouTuber. Your pedagogy is unmatched.,7,[],@phoenixastralis4,2024-01-02T01:20:58Z
She is breathtakingly pretty.,0,[],@pushon10,2024-01-01T21:00:26Z
I like that you put difficult things much simple about learning AI .Hope you make more of them,13,[],@dramaworld4u879,2024-01-01T06:35:32Z
Best video I have seen about AI so far. Your video gave me a light when I was lost in the sea of AI.,4,[],@xllAyato,2024-01-01T01:46:24Z
"This is one HOT Tina modeling video about AI.
Thanks",0,[],@txreal2,2024-01-01T01:21:47Z
Your hair is fine,0,[],@krowhenkvothe6010,2023-12-31T22:08:22Z
First Video that actually makes sense to me thank you so much,0,[],@georgeimus6102,2023-12-31T20:44:23Z
Amazing video I like the way u inspire people to the rinnegan method 🙏🥷,0,[],@LiamLang,2023-12-31T16:17:55Z
"Thank you, this is such a fantastic video, full of great resources and really well presented 😊",3,[],@paulp5342,2023-12-31T10:51:31Z
"I watched 13 seconds, see you tomorrow",0,[],@southPark-px5bx,2023-12-31T10:47:24Z
Quick & quirky,0,[],@kobusswart4302,2023-12-31T06:00:42Z
Wild… this is exactly what I’ve done without having a name for it.,0,[],@Kylo27,2023-12-31T05:42:16Z
😂 we love you Tina . You make people smile😊,0,['this honestly makes me so happy 💜💜'],@frankmartinez576,2023-12-31T03:55:24Z
Thanks!,0,['thank you so much for supporting me 💜💜'],@frankmartinez576,2023-12-31T03:52:03Z
Definitely interested in more AI/ python videos 💯,4,[],@RedSky8,2023-12-31T00:21:56Z
The editing was great in this video 🤌🏾,3,[],@Ronny_G23,2023-12-30T21:03:36Z
Awesome! I have learned a good portion of the recent ai and don’t have a short attention span but still loved this video 👍😎,2,[],@DiscoverHudsonValley,2023-12-30T20:12:43Z
I made it to 0:19,1,[],@hailynewma9122,2023-12-30T20:00:04Z
Thank you,0,[],@MrRoBot-wn4kp,2023-12-30T18:51:59Z
How's it going Tina,0,[],@chrisx1197,2023-12-30T18:22:50Z
"“We become aware of the void as we fill it.”
― Antonio Porchia",1,[],@fishfish8879,2023-12-30T18:04:03Z
"“In this twenty-first century, reality is virtual and truth is broader.”
― Abhaidev, The Gods Are Not Dead",0,[],@fishfish8879,2023-12-30T17:50:11Z
Thank you!,0,[],@benlo11,2023-12-30T17:45:00Z
❤❤❤❤,0,[],@md.atikurrahaman5793,2023-12-30T17:44:25Z
"Tina, you're a brilliant human being and DS.  The best is yet to come. Happy 2024! Thanks!",0,[],@alexanderhermes6408,2023-12-30T17:43:27Z
Can you give me a personal teaching,0,[],@FregeneSamson,2023-12-30T17:41:38Z
"“Everything you can imagine is real.”
― Pablo Picasso",1,[],@fishfish8879,2023-12-30T17:40:02Z
"Hey, that's me...a distracted, short attention span learning. Thanks for this.",72,[],@kenchang3456,2023-12-30T17:34:05Z
Lovely and insightful video !! Thanks for sharing out Tina☺,2,[],@arunkkumark9094,2023-12-30T17:31:06Z
Thank you! My attention span is abysmal. Please keep the content coming. You are awesome!,2,[],@TheWhoremonger69,2023-12-30T17:16:00Z
Awesome video!!!,1,[],@alexb859,2023-12-30T17:10:32Z
❤,0,[],@__CJ.__,2023-12-30T17:00:06Z
"Hi Tina, thank you for sharing. Keep up! ☕🍹",3,"['Thank you!! :D', '@@TinaHuang1 i will say on this video Happy New Year Tina .Love you!']",@isalutfi,2023-12-30T16:56:18Z
Rinnengan🤔,0,"[""RINNEGAN! I haven't come across something that doesn't have a naruto analogy tbh"", '@@TinaHuang1 Anime IS LIFE 💪']",@matten_zer0,2023-12-30T16:55:30Z
Ngl I really lose pretty quick. Thanks for this video Tina,0,['same - lmk what you think!'],@Faizan_Khan40,2023-12-30T16:54:34Z
uploaded 30 sec ago good response time,0,['faster than me aha'],@gallib2147,2023-12-30T16:54:07Z
First comment...🎉,0,"['FASTER THAN ME', 'nope mine is look at the min ago']",@mayanksankhla4646,2023-12-30T16:53:50Z
I pressed on this on accident. Glad I did,0,['YAY'],@valsasmr8315,2023-12-30T16:53:04Z
