comment,comment_likes,replies,user_name,date
"He’s 21 in this video, that’s insane.",0,[],@AA-fn9xz,2024-02-09T23:43:07Z
Bruh the legend,0,['Lol'],@rygamez3758,2024-02-09T23:21:40Z
oh my god this is still going on! cool,0,[],@rainyrobloxian-xt9cl,2024-02-09T23:03:02Z
Parte 2😊: https://youtu.be/dQw4w9WgXcQ?si=ezYA6JLLMLUAXJ__,0,[],@Ragnvaldor,2024-02-09T23:01:39Z
whisle vs rickroll? who will win,0,[],@susmicgaming,2024-02-09T22:46:27Z
it said free robuz :(,0,['Another child that fell for it.'],@ichilikestodostuff5730,2024-02-09T22:33:03Z
👏👏👏👏👏,0,[],@yediyedogru3191,2024-02-09T22:20:49Z
Antimatter dimensions give me this. Hehe,0,[],@samuka5860,2024-02-09T22:16:57Z
❤,0,[],@marcolaragione3925,2024-02-09T22:15:19Z
😂😂😂 someone said this was the link to Drake’s meat 😂,0,[],@jessicabarnett23,2024-02-09T22:07:03Z
Can someone drop the hw3 coding question link for cs 170?,0,[],@saratetsu,2024-02-09T21:57:35Z
"In 2087, we can say ""This song exists since 100 years, incredible !""",0,[],@PoluxSuperShark,2024-02-09T21:57:20Z
1.5 billion veiws!,0,[],@SamuelMarcello-uw4pk,2024-02-09T21:51:58Z
1.5 Bn,0,[],@STARCRAFT2user,2024-02-09T21:51:36Z
Блюлокхуета геи,0,[],@user-ql3ph6ny3p,2024-02-09T21:47:51Z
I just got rick rolled by my computer lol.,0,[],@jkacmar4337,2024-02-09T21:34:45Z
I got rickrolled 😂😂😂😂,0,['same bro😂'],@yvesnkulu-ilyshabo3147,2024-02-09T21:24:19Z
Lol Rick rickrolled yourself on the TV and mirror,0,[],@yvesnkulu-ilyshabo3147,2024-02-09T21:23:04Z
Racist Video,0,[],@GSSoulTV,2024-02-09T21:22:44Z
кто с сервера кристаликса?,0,[],@np313,2024-02-09T21:16:17Z
THIS HAS 1.5B VIEWS,1,[],@Kalaphant,2024-02-09T21:11:55Z
😂😂😂😂😂😂😂😂,0,['Прив4т?'],@matiasromanmadariagamatias1726,2024-02-09T19:59:51Z
rick eh 30,0,[],@Sharky_I420,2024-02-09T19:56:11Z
International anthem...If alien come and they ask what is the Anthem of earth..i will send this,0,[],@ninjaruffy,2024-02-09T19:50:17Z
Крикролл )))хххкххкхк,1,[],@heydarzadeayshe1127,2024-02-09T19:44:32Z
Легенда,0,[],@user-mx5uh6gg4j,2024-02-09T19:39:14Z
I❤YOU FOREVER,0,[],@eloyluruena2159,2024-02-09T19:33:06Z
Where is my fxking physics task,0,[],@b03-bg4hd,2024-02-09T19:30:44Z
i just wanted to get a game bro,1,[],@darianwallace3669,2024-02-09T19:26:27Z
Sh** got Rick-Rolled a 3rd time. I think that is why this has so many views. Most hated but most viewed video on the internet.,2,[],@hugoandresotero-jv4oh,2024-02-09T19:20:52Z
Americas nuke be like 😂,0,[],@user-cj2xe3tz8s,2024-02-09T19:16:05Z
"Be honest, you didn't stumble across this. 

Some prick linked you.",1,[],@MANJYOMETHUNDER111,2024-02-09T18:55:43Z
Bro i want to see cordiseps mushroom !!! 😡😡😡😡😡😡,1,[],@kapucinmaymunu0,2024-02-09T18:45:01Z
BRO DINT RICROLL ME,0,[],@Hamza_Bs_,2024-02-09T18:42:29Z
"Hey, this isn't Morshu reading the Bible...",0,[],@Neoniq41,2024-02-09T18:31:50Z
Day 964 of getting Rickrolled Everyday,1,[],@MegaNexas,2024-02-09T18:30:16Z
I Just got rickrolled,0,[],@jasonhoops2169,2024-02-09T18:24:14Z
